Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
5.700777965635902,5.735281141715572,7.347299700743164,3.7796338173824005,0.0
5.7011122461003225,5.735604086979157,7.25063551189868,3.856510295497887,1.3862943611198906
5.700777965635902,5.734958092124651,7.312553498102598,3.919991175077323,1.791759469228055
5.7011122461003225,5.735281141715572,7.2682230211595655,3.7013019741124933,2.0794415416798357
5.7011122461003225,5.735604086979157,7.25063551189868,3.713572066704308,2.302585092994046
5.700777965635902,5.735281141715572,7.262628600974241,3.758871825933971,2.4849066497880004
5.700777965635902,5.735281141715572,7.351799869057777,3.770459441106359,2.70805020110221
5.700777965635902,5.735281141715572,7.331714969726466,3.7184382563554808,2.833213344056216
5.701446414858653,5.735604086979157,7.419380582918692,3.3877743613300146,2.9444389791664403
5.702114417555504,5.736572297479192,7.462789157412448,3.367295829986474,3.091042453358316
5.701780471985528,5.736249664793703,7.48605261786314,3.214867803470662,3.2188758248682006
5.702448251643064,5.736894826106403,7.261225091971921,3.8133070324889884,3.4011973816621555
5.702448251643064,5.736894826106403,7.200424892944957,3.9531649487593215,3.5553480614894135
5.702448251643064,5.737217250742439,7.463363045520021,3.4339872044851463,3.6375861597263857
5.702448251643064,5.737217250742439,7.618742377670413,3.0252910757955354,3.713572066704308
5.702448251643064,5.737217250742439,7.341483852363161,3.899950424193877,3.7612001156935624
5.702448251643064,5.737217250742439,7.179307969504034,3.8628327612373745,3.8066624897703196
5.702781974322617,5.737217250742439,7.252053951852814,3.8416005411316,3.871201010907891
5.703115585668497,5.737217250742439,7.175489713624222,4.0163830207523885,3.9318256327243257
5.703449085754963,5.7375395714543345,7.398174092970465,3.5115454388310208,4.02535169073515
5.703449085754963,5.7375395714543345,7.226936018493289,3.7773481021015445,4.07753744390572
5.703115585668497,5.7375395714543345,7.280008252884188,3.824284091120139,4.1588830833596715
5.703449085754963,5.7375395714543345,7.366445148327599,3.456316680883235,4.189654742026425
5.703782474656201,5.737861788309064,7.472500744737558,3.2846635654062037,4.23410650459726
5.703782474656201,5.737861788309064,7.3537223303996315,3.6454498961866,4.2626798770413155
5.703782474656201,5.738183901373533,7.529406457837013,3.190476350346503,4.30406509320417
5.704115752446321,5.738183901373533,7.321849713788356,3.6888794541139363,4.330733340286331
5.704115752446321,5.737861788309064,7.502186486602924,3.242592351485517,4.356708826689592
5.704115752446321,5.737861788309064,7.272398392570047,3.8110970868381857,4.418840607796598
5.703782474656201,5.737861788309064,7.434847875211999,3.4372078191851885,4.442651256490317
5.704115752446321,5.738183901373533,7.200424892944957,3.8958936234982624,4.465908118654584
5.703782474656201,5.737861788309064,7.4949862339505335,3.2771447329921766,4.499809670330265
5.703782474656201,5.737861788309064,7.258412150595307,3.8979240810486444,4.5217885770490405
5.703449085754963,5.7375395714543345,7.418180822726788,3.5115454388310208,4.543294782270004
5.703115585668497,5.736894826106403,7.352441100243583,3.5751506887855933,4.564348191467836
5.703115585668497,5.737217250742439,7.2813856635702825,3.903990833730882,4.59511985013459
5.703449085754963,5.737217250742439,7.366445148327599,3.629660094453965,4.624972813284271
5.703115585668497,5.736894826106403,7.272398392570047,3.6938669956249757,4.653960350157523
5.703449085754963,5.737217250742439,7.22983877815125,3.9454577815143836,4.672828834461906
5.703115585668497,5.736894826106403,7.208600337960199,3.979681653901961,4.718498871295094
5.703115585668497,5.736894826106403,7.217443431696533,3.8372994592322094,4.736198448394496
5.703115585668497,5.736894826106403,7.221835825288449,3.9473901492654373,4.7535901911063645
5.703115585668497,5.736894826106403,7.221835825288449,3.914021008090819,4.770684624465665
5.703115585668497,5.737217250742439,7.224753405767971,3.901972669574645,4.795790545596741
5.703115585668497,5.736894826106403,7.29505641646263,3.8815637979434374,4.836281906951478
5.703115585668497,5.736894826106403,7.306531398939505,3.914021008090819,4.859812404361672
5.702781974322617,5.736572297479192,7.519692404116539,3.288401887516811,4.875197323201151
5.703115585668497,5.736894826106403,7.257707677160043,3.856510295497887,4.897839799950911
5.703115585668497,5.737217250742439,7.262628600974241,4.005513348515485,4.912654885736052
5.703449085754963,5.737217250742439,7.253470382684528,3.8088822465086327,4.948759890378168
5.703449085754963,5.736894826106403,7.959275960116396,1.7227665977411035,4.969813299576001
5.703449085754963,5.736894826106403,7.232733136177615,4.023564380161053,4.983606621708336
5.703115585668497,5.736572297479192,7.311886164077165,3.8022081394209395,4.997212273764115
5.702781974322617,5.736572297479192,7.356279876550748,3.586292865338835,5.030437921392435
5.702781974322617,5.736572297479192,7.433666540166168,3.4372078191851885,5.043425116919247
5.703115585668497,5.736894826106403,7.321849713788356,3.730501128804756,5.056245805348308
5.703115585668497,5.736894826106403,7.298445101508147,3.770459441106359,5.0689042022202315
5.703115585668497,5.736894826106403,7.322510433997394,3.720862499966987,5.081404364984463
5.703115585668497,5.736572297479192,7.415776975415394,3.417726683613366,5.093750200806762
5.703115585668497,5.736894826106403,7.229113877793302,4.014579593753238,5.111987788356544
5.703115585668497,5.736894826106403,7.2399325913204695,3.9815490680767565,5.123963979403259
5.703115585668497,5.736572297479192,7.373374309910049,3.6686767467964168,5.135798437050262
5.703115585668497,5.736572297479192,7.512071245835466,3.173878458937465,5.153291594497779
5.703449085754963,5.736572297479192,7.502738210754851,3.292126286607793,5.1647859739235145
5.703782474656201,5.736894826106403,7.329093736246592,3.6788291182604347,5.181783550292085
5.703782474656201,5.736894826106403,7.240649694255466,3.8308129500026027,5.19295685089021
5.703449085754963,5.736249664793703,7.426549072397305,3.391147045808654,5.204006687076795
5.703115585668497,5.736249664793703,7.2909747781429814,3.8088822465086327,5.220355825078324
5.703115585668497,5.736249664793703,7.331714969726466,3.5085558999826545,5.247024072160486
5.703449085754963,5.736572297479192,7.252053951852814,4.200204952921578,5.2574953720277815
5.703449085754963,5.736572297479192,7.562681246721884,3.1612467120315646,5.267858159063328
5.703449085754963,5.736894826106403,7.2813856635702825,3.8394523125933104,5.2832037287379885
5.703449085754963,5.736894826106403,7.222566018822171,3.8155121050473024,5.293304824724492
5.703782474656201,5.736894826106403,7.373374309910049,3.58351893845611,5.303304908059076
5.703449085754963,5.736572297479192,7.379008127628304,3.505557396986398,5.313205979041787
5.703115585668497,5.736249664793703,7.22983877815125,3.8649313978942956,5.3230099791384085
5.703115585668497,5.736249664793703,7.2875606403097235,3.8897773964808264,5.332718793265369
5.703115585668497,5.736249664793703,7.283448228756631,3.744787086052232,5.342334251964811
5.703115585668497,5.736249664793703,7.243512974665482,3.960813169597578,0.0
5.703115585668497,5.736249664793703,7.246368080102461,3.6609942506244004,1.0986122886681098
5.703115585668497,5.735926927982768,7.27655640271871,3.929862923556477,1.6094379124341003
5.703449085754963,5.736249664793703,7.280008252884188,3.8815637979434374,2.302585092994046
5.703449085754963,5.736249664793703,7.282073658093465,3.7328963395307104,2.4849066497880004
5.703782474656201,5.736572297479192,7.293017679772782,3.716008121502189,2.6390573296152584
5.703449085754963,5.736249664793703,7.260522598089852,3.883623530906448,2.772588722239781
5.703782474656201,5.736572297479192,7.498315870766981,3.3250360206965914,2.8903717578961645
5.703782474656201,5.736572297479192,7.270312886079025,3.8044377947482086,3.044522437723423
5.703782474656201,5.736572297479192,7.3427791893318455,3.490428515390098,3.258096538021482
5.703782474656201,5.736572297479192,7.258412150595307,3.832979798087693,3.332204510175204
5.703449085754963,5.736249664793703,7.305188215393037,3.7013019741124933,3.4339872044851463
5.703449085754963,5.736249664793703,7.469654172932128,3.288401887516811,3.5263605246161616
5.703449085754963,5.736249664793703,7.5126175446745105,3.254242968705492,3.58351893845611
5.703449085754963,5.736249664793703,7.454719949364001,3.3357695763397,3.6375861597263857
5.704115752446321,5.736572297479192,7.280008252884188,3.784189633918261,3.713572066704308
5.703782474656201,5.736249664793703,7.392031567514591,3.493472657771326,3.7612001156935624
5.703782474656201,5.736572297479192,7.20934025660291,3.9740583963475986,3.8066624897703196
5.703782474656201,5.736572297479192,7.362645270417825,3.591817741270805,3.871201010907891
5.703449085754963,5.736249664793703,7.467942332285852,3.4307561839036995,3.9318256327243257
5.703449085754963,5.735926927982768,7.333023014386481,3.517497837358316,3.9889840465642745
5.703115585668497,5.735926927982768,7.329093736246592,3.8155121050473024,4.02535169073515
5.703115585668497,5.736249664793703,7.52456122628536,3.258096538021482,4.060443010546419
5.703115585668497,5.735926927982768,7.596894438144544,3.077312260546414,4.0943445622221
5.703115585668497,5.735926927982768,7.349873704738337,3.728100167267218,4.127134385045092
5.703115585668497,5.735926927982768,7.273786317844895,3.7256934272366524,4.1588830833596715
5.703115585668497,5.735604086979157,7.280008252884188,3.7932394694381792,4.204692619390966
5.703115585668497,5.735604086979157,7.3727463664043285,3.4688560301359703,4.23410650459726
5.703115585668497,5.735604086979157,7.27655640271871,3.901972669574645,4.2626798770413155
5.703115585668497,5.735926927982768,7.311886164077165,3.86702563949741,4.290459441148391
5.703449085754963,5.735926927982768,7.3914152346753585,3.517497837358316,4.330733340286331
5.703449085754963,5.735604086979157,7.360739903058278,3.55820113047182,4.394449154672439
5.703115585668497,5.735281141715572,7.5352967024440884,3.1570004211501135,4.418840607796598
5.702781974322617,5.735281141715572,7.313220387090301,3.7954891891721947,4.442651256490317
5.703115585668497,5.735604086979157,7.312553498102598,3.7013019741124933,4.499809670330265
5.703115585668497,5.735281141715572,7.304515946460155,3.758871825933971,4.532599493153256
5.703115585668497,5.735281141715572,7.427144133408616,3.414442608412176,4.564348191467836
5.703115585668497,5.735281141715572,7.266827347520591,3.8437441646748516,4.584967478670572
5.703449085754963,5.735604086979157,7.355641102974253,3.55820113047182,4.605170185988092
5.703115585668497,5.735281141715572,7.3777589082278725,3.5263605246161616,4.624972813284271
5.703115585668497,5.735281141715572,7.443078374348516,3.370738174177447,4.6443908991413725
5.702781974322617,5.734958092124651,7.291656209174461,3.730501128804756,4.672828834461906
5.703449085754963,5.735604086979157,7.2682230211595655,3.822098297900159,4.6913478822291435
5.703449085754963,5.735604086979157,7.351799869057777,3.742420221041966,4.709530201312334
5.703782474656201,5.735926927982768,7.1785454837637,3.9454577815143836,4.727387818712341
5.703449085754963,5.735604086979157,7.344072850573066,3.7932394694381792,4.74493212836325
5.703449085754963,5.735604086979157,7.454719949364001,3.414442608412176,4.762173934797756
5.703449085754963,5.735281141715572,7.353081920515432,3.502549875922443,4.77912349311153
5.703782474656201,5.735281141715572,7.1929342212158,4.119037174812473,4.795790545596741
5.703449085754963,5.735281141715572,7.254177846456518,3.8607297110405954,4.812184355372417
5.703782474656201,5.735281141715572,7.370230641807081,3.6788291182604347,4.8283137373023015
5.703449085754963,5.734958092124651,7.352441100243583,3.563882963939251,4.844187086458591
5.703115585668497,5.734634938138965,7.295735072749282,3.7400477406883357,4.859812404361672
5.703115585668497,5.734634938138965,7.460490305825338,3.3568971227655755,4.875197323201151
5.702781974322617,5.734634938138965,7.273786317844895,3.7887247890836524,4.890349128221754
5.702781974322617,5.734634938138965,7.266128779556451,3.92395157629342,4.912654885736052
5.703115585668497,5.734634938138965,7.222566018822171,3.9889840465642745,4.9344739331306915
5.703115585668497,5.734958092124651,7.445417556701687,3.3843902633457743,4.948759890378168
5.702781974322617,5.734958092124651,7.259116128097101,3.8437441646748516,4.969813299576001
5.702781974322617,5.735281141715572,7.168579897264035,4.030694535145645,5.003946305945459
5.703115585668497,5.735281141715572,7.27931883541462,3.919991175077323,5.017279836814924
5.703115585668497,5.735281141715572,7.1459844677143876,4.039536325727106,5.049856007249537
5.703115585668497,5.735281141715572,7.321188556739478,3.6136169696133895,5.062595033026967
5.702781974322617,5.734958092124651,7.3427791893318455,3.5890591188317256,5.075173815233827
5.702448251643064,5.734634938138965,7.483806687665835,3.374168709274236,5.087596335232384
5.702448251643064,5.734634938138965,7.249925536717988,3.9415818076696905,5.10594547390058
5.702448251643064,5.734634938138965,7.238496840894365,3.770459441106359,5.135798437050262
5.702114417555504,5.734634938138965,7.322510433997394,3.543853682063679,5.153291594497779
5.702114417555504,5.734634938138965,7.385851078125209,3.6136169696133895,5.1647859739235145
5.701780471985528,5.734634938138965,7.323830566202317,3.716008121502189,5.19295685089021
5.701446414858653,5.734311679691024,7.22983877815125,3.8918202981106265,5.204006687076795
5.701780471985528,5.734311679691024,7.295735072749282,3.711130063048756,5.220355825078324
5.701780471985528,5.734311679691024,7.260522598089852,3.7773481021015445,5.231108616854587
5.701780471985528,5.733988316713267,7.288927694521257,3.653252276470785,5.241747015059643
5.701780471985528,5.733988316713267,7.368339686311381,3.7376696182833684,5.2574953720277815
5.701780471985528,5.733988316713267,7.523481312573497,3.332204510175204,5.272999558563747
5.701780471985528,5.733988316713267,7.332369205929062,3.616308761279101,5.2832037287379885
5.701780471985528,5.733988316713267,7.59488438721652,3.0349529867072724,5.293304824724492
5.701780471985528,5.733664849138071,7.310550158534422,3.8501476017100584,5.318119993844216
5.701780471985528,5.733988316713267,7.2991214627108,3.7954891891721947,5.332718793265369
5.701780471985528,5.733988316713267,7.313220387090301,3.713572066704308,5.356586274672012
5.701780471985528,5.733988316713267,7.294377299288821,3.871201010907891,5.3706380281276624
5.701780471985528,5.733988316713267,7.1569563646156364,4.122283930911342,5.37989735354046
5.701446414858653,5.733664849138071,7.253470382684528,3.975936331171799,5.389071729816501
5.701446414858653,5.733664849138071,7.369600720526409,3.597312260588446,0.0
5.701780471985528,5.733988316713267,7.292337176173877,3.8022081394209395,1.0986122886681098
5.702114417555504,5.734311679691024,7.273092595999522,3.7977338590260183,1.791759469228055
5.702114417555504,5.734634938138965,7.458186157340487,3.295836866004329,2.1972245773362196
5.701780471985528,5.733988316713267,7.385851078125209,3.5145260669691587,2.3978952727983707
5.701780471985528,5.734311679691024,7.285506548522785,3.7819143200811256,2.772588722239781
5.701780471985528,5.734311679691024,7.2682230211595655,4.147885329150131,3.044522437723423
5.701780471985528,5.734311679691024,7.1846291527173145,4.096009841541162,3.1354942159291497
5.701780471985528,5.733988316713267,7.384610383176974,3.58351893845611,3.2188758248682006
5.7011122461003225,5.733664849138071,7.288244401020124,3.9473901492654373,3.332204510175204
5.700777965635902,5.733341276897746,7.562681246721884,3.0819099697950434,3.4011973816621555
5.7011122461003225,5.733341276897746,7.3727463664043285,3.5467396869528134,3.4965075614664802
5.7011122461003225,5.733664849138071,7.175489713624222,4.08260930600368,3.58351893845611
5.7011122461003225,5.733664849138071,7.232010331664759,3.7954891891721947,3.6375861597263857
5.7011122461003225,5.733664849138071,7.389563953677635,3.5751506887855933,3.6888794541139363
5.7011122461003225,5.733988316713267,7.5953872788539725,3.109060958860994,3.7376696182833684
5.7011122461003225,5.733988316713267,7.270312886079025,3.9357395320454622,3.784189633918261
5.7011122461003225,5.734311679691024,7.173958319756794,3.927896354584436,3.828641396489095
5.7011122461003225,5.734311679691024,7.297091005160418,3.929862923556477,3.871201010907891
5.7011122461003225,5.734311679691024,7.509335266016592,3.2268439945173775,3.912023005428146
5.700777965635902,5.733988316713267,7.202661196523238,3.893859034800475,4.007333185232471
5.700777965635902,5.733988316713267,7.303843225277705,3.730501128804756,4.060443010546419
5.7011122461003225,5.733988316713267,7.419380582918692,3.4531571205928664,4.0943445622221
5.7011122461003225,5.733988316713267,7.277247726631484,3.6686767467964168,4.127134385045092
5.700777965635902,5.734311679691024,7.171656822768514,4.04305126783455,4.1588830833596715
5.7011122461003225,5.734634938138965,7.22983877815125,3.7864597824528,4.189654742026425
5.701446414858653,5.734958092124651,7.382124365737512,3.543853682063679,4.219507705176107
5.701446414858653,5.734634938138965,7.3395376954076745,3.7932394694381792,4.248495242049359
5.7011122461003225,5.734634938138965,7.298445101508147,3.929862923556477,4.290459441148391
5.7011122461003225,5.734634938138965,7.418780882750794,3.572345637857985,4.31748811353631
5.7011122461003225,5.734634938138965,7.243512974665482,3.966511190712216,4.343805421853684
5.7011122461003225,5.734634938138965,7.425953657077541,3.572345637857985,4.406719247264253
5.7011122461003225,5.734958092124651,7.893198869544609,2.4595888418037104,4.465908118654584
5.701446414858653,5.734958092124651,7.282073658093465,3.7819143200811256,4.499809670330265
5.701446414858653,5.735281141715572,7.267525427828172,3.9219733362813143,4.5217885770490405
5.701780471985528,5.735281141715572,7.331714969726466,3.735285826928092,4.574710978503383
5.701780471985528,5.735604086979157,7.370860166536716,3.58351893845611,4.605170185988092
5.701780471985528,5.735281141715572,7.2682230211595655,3.8732821771117156,4.624972813284271
5.701780471985528,5.735281141715572,7.383989457978509,3.58351893845611,4.6443908991413725
5.701446414858653,5.734958092124651,7.362645270417825,3.742420221041966,4.663439094112067
5.701780471985528,5.734958092124651,7.400620577371135,3.6027767550605247,4.68213122712422
5.701780471985528,5.734958092124651,7.307202314764738,3.6609942506244004,4.709530201312334
5.701780471985528,5.734958092124651,7.462789157412448,3.520460802488973,4.727387818712341
5.702114417555504,5.735281141715572,7.20414929203594,3.9889840465642745,4.74493212836325
5.702114417555504,5.735604086979157,7.383989457978509,3.591817741270805,4.770684624465665
5.701780471985528,5.735604086979157,7.259819610363186,4.122283930911342,4.787491742782046
5.701780471985528,5.735281141715572,7.3727463664043285,3.629660094453965,4.812184355372417
5.701780471985528,5.735281141715572,7.298445101508147,3.8066624897703196,4.8283137373023015
5.701780471985528,5.735604086979157,7.329093736246592,3.6136169696133895,4.844187086458591
5.702114417555504,5.735604086979157,7.362645270417825,3.5524868292083815,4.859812404361672
5.701780471985528,5.735604086979157,7.20414929203594,3.9871304779149512,4.875197323201151
5.701780471985528,5.735604086979157,7.234898420314831,3.8264651170664994,4.912654885736052
5.701446414858653,5.735281141715572,7.371489295214277,3.6402142821326553,4.927253685157205
5.701446414858653,5.735281141715572,7.3453648404168685,3.720862499966987,4.948759890378168
5.701446414858653,5.735281141715572,7.313220387090301,3.6712245188752153,4.962844630259907
5.701446414858653,5.734958092124651,7.417580402414544,3.484312288372662,4.976733742420574
5.701446414858653,5.735281141715572,7.277938572945661,3.66612246699132,4.990432586778736
5.701446414858653,5.734958092124651,7.268920128193722,3.8543938925915096,5.003946305945459
5.701446414858653,5.734958092124651,7.256297239690681,3.983413001514819,5.0238805208462765
5.701780471985528,5.734958092124651,7.510977752014095,3.2308043957334744,5.0369526024136295
5.701780471985528,5.735281141715572,7.173958319756794,3.828641396489095,5.0689042022202315
5.701780471985528,5.735281141715572,7.358830898342354,3.5667118201397288,5.081404364984463
5.701446414858653,5.735281141715572,7.368339686311381,3.4111477125153233,5.093750200806762
5.701446414858653,5.734958092124651,7.217443431696533,4.00369019395397,5.10594547390058
5.701446414858653,5.734634938138965,7.1929342212158,3.9160150266976834,5.117993812416755
5.701446414858653,5.734958092124651,7.3395376954076745,3.6136169696133895,5.1298987149230735
5.701446414858653,5.734958092124651,7.396335293800808,3.6402142821326553,5.14166355650266
5.701446414858653,5.734958092124651,7.338888133838879,3.502549875922443,5.159055299214529
5.701446414858653,5.735281141715572,7.359467638255621,3.5779478934066544,5.170483995038151
5.701446414858653,5.734634938138965,7.25063551189868,3.7864597824528,5.181783550292085
5.7011122461003225,5.734634938138965,7.261927092702751,3.883623530906448,5.19295685089021
5.7011122461003225,5.734634938138965,7.321849713788356,3.580737295494233,5.204006687076795
5.7011122461003225,5.734634938138965,7.2991214627108,3.7819143200811256,5.214935757608986
5.700777965635902,5.734311679691024,7.427144133408616,3.5467396869528134,5.225746673713202
5.700777965635902,5.734311679691024,7.310550158534422,3.681351187693145,5.241747015059643
5.700443573390687,5.733664849138071,7.347943823148687,3.6270040503958487,5.25227342804663
5.700109069289892,5.733664849138071,7.2399325913204695,3.937690752176724,5.267858159063328
5.700443573390687,5.733988316713267,7.385230923066573,3.4531571205928664,5.278114659230517
5.700443573390687,5.733664849138071,7.200424892944957,3.9627161197436642,5.288267030694535
5.700443573390687,5.733664849138071,7.48324441607385,3.2308043957334744,5.303304908059076
