UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,L70598,L,297.88995848924566,307.09420341218424,1492.921945009958,20.369111039471758,240,1,1,0,1,0,0
2,H76399,H,298.55944284682414,307.81477794440923,1414.2833457870045,32.40669928821157,72,0,0,0,0,0,0
3,M37684,M,304.9706278490674,314.13037608444876,1734.887597041423,36.372519450566315,136,0,0,0,0,0,0
4,M78591,M,300.2722492681517,309.6996409925466,1204.560940091928,46.91771235429652,124,0,0,0,0,0,0
5,L87722,L,300.72381567272197,311.5805075430472,1682.0238750349772,38.69666041049795,212,1,1,0,0,0,0
6,L12682,L,297.5552743859915,309.3513185942577,1593.3261904233927,50.6398722851157,61,0,0,0,0,0,0
7,L48046,L,296.31249408241473,304.9823045668612,1425.4410708472785,46.05071496010685,220,1,1,0,0,0,0
8,H31832,H,298.3618947137624,309.62540775659556,1687.2420104833766,45.132300608432764,97,0,0,0,0,0,0
9,M26997,M,302.8763911704175,312.39868745444306,1362.858080075574,49.792486442999724,120,0,0,0,0,0,0
10,M44640,M,300.66855093215304,311.01643346335527,1600.8110962007524,26.13305435503856,142,0,0,0,0,0,0
11,L86882,L,301.1971901828888,309.5430441523155,1291.735488695289,34.63756149195509,167,1,0,1,0,0,0
12,H50491,H,301.4771320784041,312.00116709574894,1385.4121807029626,64.0141452734832,145,1,0,0,1,0,0
13,H73043,H,298.8173012404034,306.81198884358736,1385.1638174352122,20.937729083568602,32,1,0,0,1,0,0
14,L82725,L,302.77593116794674,313.0898662402569,1424.93433395712,37.022074619346206,6,0,0,0,0,0,0
15,L55520,L,298.7343848015556,308.99164084858495,1501.1581115378658,44.76148662413734,175,0,0,0,0,0,0
16,L72919,L,302.8124647185251,313.0034723528206,1417.4023635891842,21.230630241733216,47,1,0,0,1,0,0
17,L74442,L,300.88460431227065,310.14969416163774,1296.358904830221,32.47319668310513,82,0,0,0,0,0,0
18,M31770,M,296.4219096915074,306.97143636593705,1546.345076870068,59.95996323318372,157,1,0,0,1,0,0
19,L57498,L,298.50398102679895,308.8950625362157,1504.895092292748,41.70440487667487,155,0,0,0,0,0,0
20,L71477,L,296.4301229342558,306.22017015061465,1540.892734089818,34.25547598315213,63,0,0,0,0,0,0
21,M10244,M,302.32656426558844,312.99841457276364,1517.1917909265976,42.10470162360646,198,0,0,0,0,0,0
22,L42788,L,299.95052915839517,309.85492501182966,1595.4235281985166,34.23641339860332,73,0,0,0,0,0,0
23,L89453,L,295.54331512010043,306.0720922790092,1492.4517646838897,57.12521584688931,91,0,0,0,0,0,0
24,L67737,L,300.7514937634393,310.6256144360452,1601.252063481031,30.089729868249705,98,0,0,0,0,0,0
25,L56489,L,298.92567147522334,309.14237346633286,1422.4303351898773,34.77207829757333,129,0,0,0,0,0,0
26,M81303,M,297.03238828993335,307.6071112310086,1428.1329620661147,25.077782706187207,142,0,0,0,0,0,0
27,L38390,L,303.3559316739374,312.95801910031935,1637.6039395398193,37.04554825280115,206,0,1,0,0,0,0
28,M20247,M,300.2145717321932,308.980735145939,1635.566865822729,38.25434212540657,215,0,1,0,0,0,0
29,M79051,M,299.4131371953734,309.6892162009215,1557.3742142780832,51.95640663895099,182,0,0,0,0,0,0
30,L69719,L,299.201150438028,310.3905418166409,1411.0892087140192,29.83268830124318,166,1,0,0,0,0,1
31,M44678,M,296.97344106168447,307.2725920346419,1403.0367564704243,44.836285079685815,155,0,0,0,0,0,0
32,L97802,L,297.39090220083176,307.70904451552815,1632.806396236127,40.86727129317906,40,0,0,0,0,0,0
33,L86286,L,302.5698335697502,312.52765746325355,1627.266492757816,21.074951278239155,196,0,0,0,0,0,0
34,H39583,H,299.0522342604286,309.79135291320176,1493.6420642329874,32.74699300481095,151,0,0,0,0,0,0
35,H18076,H,300.04413540187375,309.8581999857358,1734.1884926969853,32.3493810192986,75,0,0,0,0,0,0
36,H28006,H,295.91133904759783,305.457440266471,1545.8900071946139,56.83039410409491,213,1,1,0,1,0,0
37,L25051,L,297.363815928409,308.4691141812839,1389.280062596888,45.45726875651093,78,0,0,0,0,0,0
38,L14314,L,301.21962503974953,310.6890867214569,1472.4368900332108,41.44670373541484,25,0,0,0,0,0,0
39,M38670,M,300.7554235202277,311.64489446667943,1500.5470578005375,0.0,181,1,0,0,1,0,0
40,L77551,L,303.5067503974486,314.6126858594063,1508.6398636749113,20.917305945212036,46,1,0,0,1,0,0
41,L20236,L,302.68591266326246,313.2527295953245,1625.0003217851709,47.2778803193884,9,0,0,0,0,0,0
42,L45568,L,299.53857805503037,308.28934253545776,1404.3711087335641,47.82042792606339,201,1,1,0,0,0,0
43,L70314,L,300.94590712942653,310.973062038649,1366.8487700887783,32.5775179587058,174,0,0,0,0,0,0
44,H26352,H,299.36679311419385,309.1647931171352,1560.2323683005095,40.27678210785773,134,0,0,0,0,0,0
45,L55650,L,304.1096196372773,313.613620381942,1449.3015491074145,39.56763484462195,159,0,0,0,0,0,0
46,M20346,M,302.2980293921048,312.44078097945123,1742.3506123466825,41.694459216813144,69,0,0,0,0,0,0
47,L35156,L,300.3393701817155,311.10857652921305,1594.3220381475633,36.279954670740814,174,0,0,0,0,0,0
48,M65904,M,300.4007895697527,309.9422369096215,1447.460354765976,48.153684144557026,156,0,0,0,0,0,0
49,M24035,M,302.8897005745196,312.71831790024595,1621.2853738784206,51.06109708685766,19,0,0,0,0,0,0
50,L26108,L,301.1591556942277,310.9180967603957,1573.0410795083005,30.403836200079823,39,0,0,0,0,0,0
51,H12853,H,303.11725603414015,314.28112707968444,1563.3697147463279,28.05627368264568,71,0,0,0,0,0,0
52,M94156,M,295.61270414748225,305.35560352967167,1487.7756068411506,32.038857686897686,59,0,0,0,0,0,0
53,H14176,H,300.9224565229976,309.6880508652359,1542.0450851638466,40.487180188907395,165,0,0,0,0,0,0
54,H35920,H,298.9691302706372,307.3956954316467,1289.7042099407336,43.55631240580675,98,1,0,1,0,0,0
55,M64850,M,303.51275597525597,313.87548554182194,1631.7089404222052,47.884500050066414,209,1,1,0,0,0,0
56,H16829,H,303.09279737437964,312.33211563449373,1156.3937610331977,49.71421886127393,76,0,0,0,0,0,0
57,L83927,L,300.0656716182026,310.73439612347505,1455.7876905974085,43.62448608837858,95,0,0,0,0,0,0
58,L94860,L,303.0712619576221,311.74004196911494,1340.4289446805965,42.295918261506415,65,0,0,0,0,0,0
59,L50667,L,303.566229039985,313.0273168733744,1449.9148858768476,56.48895507191021,24,0,0,0,0,0,0
60,L75842,L,300.1488133438523,308.81824449433213,1492.5882727587896,40.05000038520968,13,0,0,0,0,0,0
61,L45843,L,304.94386754486374,315.37847826041263,1380.3206466083789,45.90046829851572,104,0,0,0,0,0,0
62,L60808,L,299.9373176946606,310.58616523528525,1222.552275736076,43.202546466164826,241,0,0,0,0,0,0
63,H40543,H,299.5709580993282,309.9095832569648,1520.7065724141057,38.26813590248861,12,0,0,0,0,0,0
64,L82780,L,301.7317451771687,310.64580885676486,1708.6439782027896,38.334122340680956,202,0,1,0,0,0,0
65,L16611,L,299.2924185377154,308.5466547936047,1464.8719833149994,53.21956767034698,201,0,1,0,0,0,0
66,M98242,M,300.1706795515898,310.40499354020136,1595.93309562258,39.0976969368552,40,0,0,0,0,0,0
67,L94612,L,302.81886884810183,311.1311274399775,1650.4384837556886,36.473308426612306,34,0,0,0,0,0,0
68,H56902,H,300.03843770443456,309.79730276004665,1309.9962075454202,32.62944268078461,180,0,0,0,0,0,0
69,L43043,L,296.6099644140494,308.12686976738524,1454.272484852168,44.22535424855034,98,0,0,0,0,0,0
70,H15271,H,300.7346387756984,310.554683226518,1372.3614388311198,34.87861968364492,49,0,0,0,0,0,0
71,M82867,M,298.6074128418952,307.11886820286327,1419.3722962021836,43.3179448884949,77,0,0,0,0,0,0
72,L87089,L,301.7305423145891,311.123133066913,1670.201170114663,41.777237400136116,152,0,0,0,0,0,0
73,L68745,L,301.3923794316525,310.76168710597494,1522.3679486424192,35.726119813123226,108,0,0,0,0,0,0
74,H72077,H,302.94280069633305,315.0831094761696,1578.8823601045174,26.04415772432803,119,0,0,0,0,0,0
75,M69119,M,301.8150646015854,313.4807436820993,1495.6100894036215,29.70775689323772,45,0,0,0,0,0,0
76,M21573,M,302.1804885673161,312.9114240014177,1378.9447354264457,31.281284782140055,27,0,0,0,0,0,0
77,M31409,M,298.6618064797246,308.3187305489832,1567.8115697218707,29.95970038536535,17,0,0,0,0,0,0
78,L95970,L,301.607972991781,312.8086026527607,1625.2575371442822,44.55267823919191,11,0,0,0,0,0,0
79,L34464,L,303.9369025787206,312.80344293967016,1531.7374216168657,61.291753466738655,149,1,0,0,1,0,0
80,L52840,L,298.6227001827265,309.69927549797075,1548.9124361759934,34.890099248170756,17,0,0,0,0,0,0
81,H58785,H,303.5994765834542,314.5274501208742,1376.5198613633215,36.15725320524065,103,0,0,0,0,0,0
82,M30662,M,298.90129981759736,308.7499540829481,1570.6863633149226,34.15417452513619,127,0,0,0,0,0,0
83,L28228,L,298.29605750990004,309.4352438232508,1634.601382292635,48.57676760629619,99,0,0,0,0,0,0
84,L70721,L,300.5924008867097,310.14517975724584,1540.4585474271453,44.263568603933805,214,1,1,0,0,0,0
85,L59223,L,301.43182083225764,310.16673523415943,1320.3216754123107,39.83372577844502,58,0,0,0,0,0,0
86,L17386,L,301.82350024794454,312.80146526094444,1663.562950077528,27.868885324497192,47,0,0,0,0,0,0
87,M16862,M,298.0764751584536,307.99123222931416,1405.5176106356237,30.32237659752318,113,0,0,0,0,0,0
88,M50108,M,300.86908019450857,311.47086079780723,1538.7786826889912,41.75293575558127,126,0,0,0,0,0,0
89,H85023,H,298.628890857033,310.44977744859244,1595.297626856092,42.23287290423935,236,0,1,0,0,0,0
90,L90140,L,297.02215548785887,306.29990141546256,1607.9618322050994,39.83890708034269,130,0,0,0,0,0,0
91,L92963,L,298.14252736893445,307.9991478640945,1319.9943188220154,46.64927127260304,26,0,0,0,0,0,0
92,M37201,M,298.49819926808834,310.06783377266606,1511.7217256072938,27.774226303579923,58,0,0,0,0,0,0
93,M78578,M,301.04319032070504,311.7119220515603,1505.1021610882608,43.03589877159962,48,0,0,0,0,0,0
94,M59966,M,302.30442732613733,311.60464458193275,1643.9028187726512,42.47986322096716,189,0,0,0,0,0,0
95,M64774,M,297.05358674024944,306.09856903671,1545.872354241063,30.420607813299213,192,0,0,0,0,0,0
96,L20386,L,300.7039221484161,310.17584150831277,1644.811766104496,33.95100278397547,207,1,1,0,0,0,0
97,M87228,M,297.6466036284582,306.9081889236553,1553.9917599885152,46.93129475689474,191,0,0,0,0,0,0
98,L25225,L,301.258170818028,311.49551893751755,1492.5833795438782,28.614083518499235,212,1,1,0,0,0,0
99,L26693,L,298.7545388379925,308.8329733451901,1519.385942153816,64.63771069920632,9,1,0,0,1,0,0
100,L82197,L,297.89734196395347,308.1765797182288,1652.3596917102464,45.557616008917535,42,0,0,0,0,0,0
101,L53021,L,301.5993290306952,310.7585162291354,1370.306816449875,39.42663189351944,144,0,0,0,0,0,0
102,M28261,M,298.8261547891098,308.75532088158457,1590.5954510120532,37.478476656284236,46,0,0,0,0,0,0
103,L37378,L,299.3680720972946,307.31237232333837,1437.2384008779213,47.882014986419506,83,0,0,0,0,0,0
104,M96755,M,295.56002182488726,305.70502814224864,1415.7520915751297,35.88650468403657,131,0,0,0,0,0,0
105,H21937,H,301.89310272284695,313.0685433678028,1602.3426366616172,36.29683741988937,115,0,0,0,0,0,0
106,L76330,L,301.64181704233823,310.21707113299203,1411.6912744989006,54.52588274783717,226,1,1,0,0,1,0
107,L57366,L,300.01091568856265,310.4943439192101,1537.7074716925324,35.28441005134565,194,0,0,0,0,0,0
108,M82322,M,296.9448381172885,306.33382376552794,1451.1058577840236,41.360813485053946,119,0,0,0,0,0,0
109,L50160,L,302.4187383566695,313.22123951036286,1264.3063304103525,32.39787924052977,163,0,0,0,0,0,0
110,L55313,L,298.66747322727844,308.8261206784907,1547.771598010435,42.590404774877086,133,0,0,0,0,0,0
111,L37032,L,299.0932930997988,309.49799721245927,1512.6321272956789,45.80614434440054,82,0,0,0,0,0,0
112,L27358,L,304.62408811271905,314.6889120114745,1308.9919485585183,56.82895509191819,131,1,0,0,0,0,1
113,H71710,H,298.5927271117815,309.9210589181659,1430.141045846114,30.62651110027392,171,0,0,0,0,0,0
114,H96157,H,301.484419924853,311.8318304025481,1319.3007883287696,25.521257957047872,186,0,0,0,0,0,0
115,M58821,M,301.12418452416523,310.4187608101628,1573.1689887296413,37.332093962179705,140,0,0,0,0,0,0
116,H38365,H,300.78034438576015,310.87905943808113,1638.7993202710097,33.82886009313915,46,0,0,0,0,0,0
117,H23189,H,300.564001085109,310.19512004214295,1584.9490605046185,39.84552961445907,49,0,0,0,0,0,0
118,L86749,L,300.7527771237784,310.91517703029797,1598.9130156800093,45.21988325864788,102,0,0,0,0,0,0
119,H17248,H,300.5438811818811,310.1241114695143,1448.2169594333186,62.65023075823541,158,1,0,0,1,0,0
120,M14369,M,299.8961632824479,309.2193525469016,1554.6928011110374,35.48514642745556,29,0,0,0,0,0,0
121,H73763,H,303.0225662482215,313.22183846096993,1499.093136985784,17.89596312447062,171,1,0,0,1,0,0
122,H18050,H,297.3746788784014,307.43046850701796,1518.531451608882,37.62023350492298,157,0,0,0,0,0,0
123,L38605,L,302.04291620803076,313.1068720530766,1595.7431460454522,43.50527664723296,30,0,0,0,0,0,0
124,L59616,L,301.6446845973751,311.22972871824226,1617.5487420647237,30.30369259939586,111,0,0,0,0,0,0
125,L64479,L,301.3967982426588,309.4159443951635,1461.0243610361483,42.33682452914617,211,0,1,0,0,0,0
126,L90934,L,302.23395885528026,311.87008805681694,1359.2355188644951,41.374815353449065,23,0,0,0,0,0,0
127,H50883,H,299.8148012094632,308.18837045054664,1481.2595465307145,42.598517439989195,119,0,0,0,0,0,0
128,H43055,H,296.26205184834623,306.67772382244283,1478.0726714686116,47.913219541298574,94,0,0,0,0,0,0
129,L78731,L,299.855414680571,308.18151675222225,1528.4597880014157,39.17308715663331,189,0,0,0,0,0,0
130,M17450,M,298.0176115647509,307.0292405023368,1583.2995918464123,45.475376565061595,92,0,0,0,0,0,0
131,L12925,L,298.53628158028386,308.173947122009,1308.5418034515942,22.010388527696833,181,1,0,0,1,0,0
132,L90051,L,297.51516065233517,309.05911125709633,1432.9086448808523,30.376207082073336,86,0,0,0,0,0,0
133,L60272,L,299.0453102831123,307.9724201673974,1403.611181068256,36.58465669073941,150,0,0,0,0,0,0
134,L15310,L,298.8067526120331,308.8191575951797,1625.0893788691792,29.948708599837225,107,0,0,0,0,0,0
135,H41817,H,295.2448603401458,305.8248369171031,1479.1629106647613,40.065960021115934,140,0,0,0,0,0,0
136,L54528,L,301.40044382256457,312.88450437578524,1448.7116430438211,36.56256702422596,118,0,0,0,0,0,0
137,M65779,M,304.4406437160098,315.2184384677312,1553.8301692446578,35.448660104210205,68,0,0,0,0,0,0
138,M94816,M,301.2124743869926,312.30638133862504,1440.6993649083977,48.83804796892974,240,1,1,0,0,0,0
139,L92641,L,299.59415208693156,310.4584591457831,1498.480522320315,40.838217913146224,227,1,1,0,0,0,0
140,H94083,H,299.8905072086476,308.68138423725145,1681.4071200112026,29.162900973424406,208,1,1,0,0,0,0
141,H86310,H,299.1580282639736,309.51772036829067,1678.6290323886644,33.96677615321097,117,0,0,0,0,0,0
