Fold,AUC,Average_Precision,Precision,Recall,F1_Score,Accuracy,Loss,Training_Accuracy,Validation_Accuracy,Training_Loss,Validation_Loss,Matthews_Corrcoef,PR_AUC,Contamination_Level,Model_Name
1,0.5434315753415633,0.04025972828852841,0.0,0.0,0.0,0.9693366708385481,1.0,0.9693174702567313,0.9693366708385481,1.0,1.0,0.0,0.03809487038110605,0.01,IsolationForest
1,0.5435896760253488,0.04235126639133702,0.0,0.0,0.0,0.9693366708385481,1.0,0.9693174702567313,0.9693366708385481,1.0,1.0,0.0,0.03962474999691429,0.01,LOF
1,0.5304146190432274,0.04322003872194731,0.0,0.0,0.0,0.9680851063829787,1.0,0.9693174702567313,0.9680851063829787,1.0,1.0,-0.00629608939117339,0.038879655313572445,0.01,OneClassSVM
1,0.43851859659293024,0.02738685739390501,0.0,0.0,0.0,0.951188986232791,1.0,1.0,0.951188986232791,0.0,1.0,-0.024180198307499786,0.026041107860629804,0.01,RandomForest
1,0.5,0.030663329161451813,0.030663329161451813,1.0,0.05950212507589557,0.030663329161451813,0.9404978749241044,0.030682529743268627,0.030663329161451813,0.9404617253948967,0.9404978749241044,0.0,0.5153316645807259,0.01,DBSCAN
1,0.5,0.030663329161451813,0.0,0.0,0.0,0.9693366708385481,1.0,0.9693174702567313,0.9693366708385481,1.0,1.0,0.0,0.5153316645807259,0.01,Ensemble
2,0.5244423350735644,0.03649537097461272,0.0,0.0,0.0,0.9693174702567313,1.0,0.9693270735524256,0.9693174702567313,1.0,1.0,0.0,0.034549370938535356,0.01,IsolationForest
2,0.5188656858092074,0.038023606017449696,0.0,0.0,0.0,0.9693174702567313,1.0,0.9693270735524256,0.9693174702567313,1.0,1.0,0.0,0.035308362571067675,0.01,LOF
2,0.5014106417760903,0.0353208054667504,0.0,0.0,0.0,0.9674389480275517,1.0,0.9693270735524256,0.9674389480275517,1.0,1.0,-0.00771843108168094,0.03304048094830909,0.01,OneClassSVM
2,0.47907767758266095,0.04626043143666001,0.045454545454545456,0.04081632653061224,0.043010752688172046,0.9442705072010019,0.956989247311828,1.0,0.9442705072010019,0.0,0.956989247311828,0.01441789203931355,0.040136295263508495,0.01,RandomForest
2,0.5,0.030682529743268627,0.030682529743268627,1.0,0.05953827460510328,0.030682529743268627,0.9404617253948967,0.030672926447574335,0.030682529743268627,0.940479805648345,0.9404617253948967,0.0,0.5153412648716343,0.01,DBSCAN
2,0.5068422717924379,0.03128546916005544,0.045454545454545456,0.04081632653061224,0.043010752688172046,0.9442705072010019,0.956989247311828,1.0,0.9442705072010019,0.0,0.956989247311828,0.01441789203931355,0.05785052678781992,0.01,Ensemble
3,0.5159257501450193,0.03399322032840317,0.0,0.0,0.0,0.9693174702567313,1.0,0.9693270735524256,0.9693174702567313,1.0,1.0,0.0,0.03235405119895107,0.01,IsolationForest
3,0.5177055318251332,0.03397698689894653,0.0,0.0,0.0,0.9693174702567313,1.0,0.9693270735524256,0.9693174702567313,1.0,1.0,0.0,0.032602924716939374,0.01,LOF
3,0.5326820650740917,0.03553379072358111,0.0,0.0,0.0,0.9693174702567313,1.0,0.9693270735524256,0.9693174702567313,1.0,1.0,0.0,0.03411609472941089,0.01,OneClassSVM
3,0.5293136634498761,0.034934928100351745,0.0,0.0,0.0,0.947401377582968,1.0,1.0,0.947401377582968,0.0,1.0,-0.026632140250733998,0.03345690495301659,0.01,RandomForest
3,0.5,0.030682529743268627,0.030682529743268627,1.0,0.05953827460510328,0.030682529743268627,0.9404617253948967,0.030672926447574335,0.030682529743268627,0.940479805648345,0.9404617253948967,0.0,0.5153412648716343,0.01,DBSCAN
3,0.5,0.030682529743268627,0.0,0.0,0.0,0.9693174702567313,1.0,0.9693270735524256,0.9693174702567313,1.0,1.0,0.0,0.5153412648716343,0.01,Ensemble
